INSERT INTO d_entry (entry_id, part_id, container_qty, pieces_qty, price, time, cust_id, invoice_no)
VALUES ('1', '10', '2', '26', '52140.0', '2021-01-01 05:56:02', '93', 'INV00001'),
('2', '4', '20', '50', '225000.0', '2021-01-04 11:30:28', '8', 'INV00002'),
('3', '8', '47', '25', '1087700.0', '2021-01-04 12:58:49', '34', 'INV00003'),
('4', '3', '2', '2', '90000.0', '2021-01-04 16:25:57', '8', 'INV00004'),
('5', '3', '2', '5', '135000.0', '2021-01-05 13:53:42', '76', 'INV00005'),
('6', '8', '21', '36', '522990.0', '2021-01-06 21:02:47', '100', 'INV00006'),
('7', '2', '33', '45', '2962500.0', '2021-01-08 14:19:13', '4', 'INV00007'),
('8', '9', '3', '23', '95000.0', '2021-01-09 13:57:26', '52', 'INV00008'),
('9', '6', '22', '44', '539000.0', '2021-01-11 06:38:42', '96', 'INV00009'),
('10', '6', '40', '41', '843500.0', '2021-01-11 23:59:03', '20', 'INV000010'),
('11', '9', '48', '25', '662500.0', '2021-01-12 00:29:17', '49', 'INV00011'),
('12', '4', '14', '17', '130500.0', '2021-01-12 08:48:50', '55', 'INV00012'),
('13', '10', '37', '43', '618570.0', '2021-01-13 18:31:38', '35', 'INV00013'),
('14', '3', '38', '32', '1620000.0', '2021-01-14 07:51:34', '14', 'INV00014'),
('15', '4', '4', '9', '43500.0', '2021-01-14 15:27:13', '91', 'INV00015'),
('16', '9', '4', '30', '125000.0', '2021-01-15 06:35:22', '1', 'INV00016'),
('17', '7', '48', '13', '1577600.0', '2021-01-16 09:47:32', '19', 'INV00017'),
('18', '3', '10', '19', '585000.0', '2021-01-17 21:27:10', '78', 'INV00018'),
('19', '9', '21', '30', '337500.0', '2021-01-19 19:03:20', '46', 'INV00019'),
('20', '2', '38', '22', '3175800.0', '2021-01-20 11:02:03', '9', 'INV00020'),
('21', '9', '9', '43', '220000.0', '2021-01-26 18:10:41', '46', 'INV00021'),
('22', '3', '43', '23', '1635000.0', '2021-01-28 04:44:14', '18', 'INV00022'),
('23', '1', '18', '0', '855000.0', '2021-01-31 01:20:56', '56', 'INV00023'),
('24', '4', '46', '32', '393000.0', '2021-01-31 09:40:59', '53', 'INV00024'),
('25', '8', '46', '18', '1054920.0', '2021-02-04 20:34:31', '77', 'INV00025'),
